"cust_id"	"sales_total"	"num_of_orders"	"gender"	"per_order"
"1"	100001	800.64	3	"F"	266.88
"2"	100002	217.53	3	"F"	72.51
"3"	100003	74.58	2	"M"	37.29
"4"	100004	498.6	3	"M"	166.2
"5"	100005	723.11	4	"F"	180.7775
"6"	100006	69.43	2	"F"	34.715
"7"	100007	40.15	2	"M"	20.075
"8"	100008	58.61	2	"M"	29.305
"9"	100009	364.63	2	"F"	182.315
"10"	100010	44.31	2	"M"	22.155
"11"	100011	216.41	1	"F"	216.41
"12"	100012	157.92	2	"F"	78.96
"13"	100013	289.58	1	"M"	289.58
"14"	100014	1044.4	7	"M"	149.2
"15"	100015	82.3	3	"M"	27.4333333333333
"16"	100016	90.21	2	"M"	45.105
"17"	100017	59.09	2	"M"	29.545
"18"	100018	361.38	1	"M"	361.38
"19"	100019	37.32	1	"M"	37.32
"20"	100020	311.34	3	"F"	103.78
"21"	100021	90.84	3	"M"	30.28
"22"	100022	580.64	5	"M"	116.128
"23"	100023	274.31	2	"F"	137.155
"24"	100024	215.06	2	"F"	107.53
"25"	100025	202.99	3	"F"	67.6633333333333
"26"	100026	53.03	2	"F"	26.515
"27"	100027	153.87	3	"F"	51.29
"28"	100028	149.65	3	"M"	49.8833333333333
"29"	100029	271.5	3	"M"	90.5
"30"	100030	456.17	3	"F"	152.056666666667
"31"	100031	123.49	3	"F"	41.1633333333333
"32"	100032	122.92	2	"F"	61.46
"33"	100033	272.96	1	"M"	272.96
"34"	100034	120.57	1	"M"	120.57
"35"	100035	162.56	1	"M"	162.56
"36"	100036	710.93	4	"M"	177.7325
"37"	100037	39.72	2	"M"	19.86
"38"	100038	240.35	3	"F"	80.1166666666667
"39"	100039	155.54	1	"F"	155.54
"40"	100040	87.55	3	"M"	29.1833333333333
"41"	100041	85.15	2	"F"	42.575
"42"	100042	163.95	2	"M"	81.975
"43"	100043	72.30441591	1	"M"	72.30441591
"44"	100044	41.63	2	"M"	20.815
"45"	100045	326.47	4	"M"	81.6175
"46"	100046	80.8	1	"F"	80.8
"47"	100047	350.02	2	"F"	175.01
"48"	100048	128.26	1	"M"	128.26
"49"	100049	110.44	3	"F"	36.8133333333333
"50"	100050	83.25925463	1	"M"	83.25925463
"51"	100051	49.39	1	"M"	49.39
"52"	100052	52.27	3	"F"	17.4233333333333
"53"	100053	157.13	1	"F"	157.13
"54"	100054	424.12	3	"F"	141.373333333333
"55"	100055	143.8	2	"M"	71.9
"56"	100056	96.14	2	"M"	48.07
"57"	100057	659.04	3	"M"	219.68
"58"	100058	47.73	2	"M"	23.865
"59"	100059	73.72	2	"M"	36.86
"60"	100060	81.85	2	"F"	40.925
"61"	100061	111.39	2	"M"	55.695
"62"	100062	113.64	1	"M"	113.64
"63"	100063	542.67	3	"M"	180.89
"64"	100064	37.44	2	"M"	18.72
"65"	100065	126.54	2	"M"	63.27
"66"	100066	54.72	3	"M"	18.24
"67"	100067	190.81	3	"M"	63.6033333333333
"68"	100068	204.78	2	"F"	102.39
"69"	100069	97.77	3	"F"	32.59
"70"	100070	190.62	1	"M"	190.62
"71"	100071	170.09	2	"F"	85.045
"72"	100072	148.41	1	"F"	148.41
"73"	100073	347.39	4	"M"	86.8475
"74"	100074	61.76	1	"F"	61.76
"75"	100075	40.47	1	"M"	40.47
"76"	100076	85.18937512	1	"M"	85.18937512
"77"	100077	920.85	5	"F"	184.17
"78"	100078	78.16	2	"F"	39.08
"79"	100079	53.98	1	"F"	53.98
"80"	100080	498.18	3	"F"	166.06
"81"	100081	50.25	2	"F"	25.125
"82"	100082	31.9	2	"F"	15.95
"83"	100083	297.14	2	"M"	148.57
"84"	100084	39.63	2	"F"	19.815
"85"	100085	146.27	2	"F"	73.135
"86"	100086	79.58	1	"M"	79.58
"87"	100087	339.49	1	"M"	339.49
"88"	100088	114.97	3	"F"	38.3233333333333
"89"	100089	183.25	3	"M"	61.0833333333333
"90"	100090	159.24	2	"M"	79.62
"91"	100091	152.16	2	"M"	76.08
"92"	100092	280.63	4	"F"	70.1575
"93"	100093	36.18	2	"F"	18.09
"94"	100094	154.18	1	"F"	154.18
"95"	100095	265.46	2	"M"	132.73
"96"	100096	222.11	2	"F"	111.055
"97"	100097	99.98	2	"F"	49.99
"98"	100098	190.23	1	"M"	190.23
"99"	100099	91.43	2	"F"	45.715
"100"	100100	340.83	1	"F"	340.83
"101"	100101	209.75	3	"M"	69.9166666666667
"102"	100102	742.42	6	"F"	123.736666666667
"103"	100103	127.4	2	"M"	63.7
"104"	100104	585.58	2	"M"	292.79
"105"	100105	246.92	3	"M"	82.3066666666667
"106"	100106	589.02	2	"F"	294.51
"107"	100107	437.02	2	"F"	218.51
"108"	100108	214.4	1	"M"	214.4
"109"	100109	317.29	2	"M"	158.645
"110"	100110	161.17	1	"F"	161.17
"111"	100111	554.56	5	"M"	110.912
"112"	100112	322.61	2	"F"	161.305
"113"	100113	405.05	3	"M"	135.016666666667
"114"	100114	245.23	4	"M"	61.3075
"115"	100115	292.72	3	"M"	97.5733333333333
"116"	100116	407.88	2	"F"	203.94
"117"	100117	650.47	2	"F"	325.235
"118"	100118	53.35415123	2	"M"	26.677075615
"119"	100119	242.86	2	"F"	121.43
"120"	100120	401.03	3	"M"	133.676666666667
"121"	100121	56.46	1	"M"	56.46
"122"	100122	176.63	2	"F"	88.315
"123"	100123	317.3	1	"M"	317.3
"124"	100124	818.45	6	"F"	136.408333333333
"125"	100125	53.62	2	"F"	26.81
"126"	100126	512.44	2	"M"	256.22
"127"	100127	204.65	3	"M"	68.2166666666667
"128"	100128	208.93	2	"M"	104.465
"129"	100129	378.96	3	"F"	126.32
"130"	100130	51.6	2	"M"	25.8
"131"	100131	65.78	3	"M"	21.9266666666667
"132"	100132	252.27	3	"F"	84.09
"133"	100133	747.9	4	"M"	186.975
"134"	100134	48.42	1	"F"	48.42
"135"	100135	240.73	1	"M"	240.73
"136"	100136	989.62	6	"M"	164.936666666667
"137"	100137	289.48	2	"M"	144.74
"138"	100138	30.85	1	"F"	30.85
"139"	100139	196.91	3	"M"	65.6366666666667
"140"	100140	213.57	3	"M"	71.19
"141"	100141	123.88	1	"F"	123.88
"142"	100142	303.22	2	"M"	151.61
"143"	100143	61.79	2	"M"	30.895
"144"	100144	58.93	3	"F"	19.6433333333333
"145"	100145	215.5	2	"F"	107.75
"146"	100146	150.73	2	"M"	75.365
"147"	100147	314.36	4	"F"	78.59
"148"	100148	145.02	2	"M"	72.51
"149"	100149	37.39	2	"M"	18.695
"150"	100150	1011.88	9	"F"	112.431111111111
"151"	100151	37.06	2	"F"	18.53
"152"	100152	97.66	3	"F"	32.5533333333333
"153"	100153	231.79	3	"M"	77.2633333333333
"154"	100154	71.33	2	"M"	35.665
"155"	100155	108.16	3	"M"	36.0533333333333
"156"	100156	236.93	2	"M"	118.465
"157"	100157	77.31	3	"F"	25.77
"158"	100158	106.82	2	"M"	53.41
"159"	100159	1947.93	9	"M"	216.436666666667
"160"	100160	267.68	1	"M"	267.68
"161"	100161	107.75	2	"M"	53.875
"162"	100162	782.29	2	"M"	391.145
"163"	100163	257.55	3	"F"	85.85
"164"	100164	32.11	1	"F"	32.11
"165"	100165	71.78	1	"F"	71.78
"166"	100166	48.57	1	"M"	48.57
"167"	100167	586.01	6	"M"	97.6683333333333
"168"	100168	53.87	1	"M"	53.87
"169"	100169	143.48	2	"M"	71.74
"170"	100170	34.55	1	"M"	34.55
"171"	100171	97.07	1	"F"	97.07
"172"	100172	174.69	2	"F"	87.345
"173"	100173	223.65	3	"F"	74.55
"174"	100174	356.88	1	"F"	356.88
"175"	100175	35.75	1	"F"	35.75
"176"	100176	680.61	6	"F"	113.435
"177"	100177	325.48	4	"M"	81.37
"178"	100178	50.39	3	"M"	16.7966666666667
"179"	100179	49.77	2	"F"	24.885
"180"	100180	210.02	1	"F"	210.02
"181"	100181	65.09	2	"M"	32.545
"182"	100182	223.17	4	"M"	55.7925
"183"	100183	1210.78	5	"F"	242.156
"184"	100184	238.91	2	"M"	119.455
"185"	100185	111.75	1	"M"	111.75
"186"	100186	122.1	2	"M"	61.05
"187"	100187	63.69	1	"M"	63.69
"188"	100188	59.37	2	"F"	29.685
"189"	100189	56.43	3	"F"	18.81
"190"	100190	202.04	1	"F"	202.04
